Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Loló,4.0,1891,2,San Francisco,CA,94110,Tapas/Small Plates
Pearl's Deluxe Burgers,4.0,2066,2,San Francisco,CA,94109,Burgers
Shizen Vegan Sushi Bar & Izakaya,4.5,1178,2,San Francisco,CA,94103,Sushi Bars
Zanze's Cheesecake,4.5,879,2,San Francisco,CA,94127,Bakeries
Zero Zero,4.0,3031,2,San Francisco,CA,94107,Pizza
Marlowe,4.0,2514,2,San Francisco,CA,94107,American (New)
Pizzeria Delfina - San Francisco,4.0,2228,2,San Francisco,CA,94110,Pizza
Super Duper Burgers,4.0,2558,2,San Francisco,CA,94103,Burgers
Cha Cha Cha,4.0,3098,2,San Francisco,CA,94117,Caribbean
Little Star Pizza,4.0,1951,2,San Francisco,CA,94103,Pizza
Woodhouse Fish Company,4.0,2068,2,San Francisco,CA,94115,Seafood
Lers Ros,4.0,2071,2,San Francisco,CA,94109,Thai
È Tutto Qua,4.0,1953,2,San Francisco,CA,94133,Italian
Don Pisto's,4.0,1700,2,San Francisco,CA,94133,Mexican
Chantal Guillon Macarons,4.5,990,2,San Francisco,CA,94102,Desserts
Mandalay,4.0,1965,2,San Francisco,CA,94118,Burmese
Garaje,4.5,1398,2,San Francisco,CA,94107,Mexican
R&G Lounge,3.5,4096,2,San Francisco,CA,94108,Chinese
PPQ Dungeness Island,4.0,2839,2,San Francisco,CA,94121,Seafood
Urban Putt,4.5,1197,2,San Francisco,CA,94110,Mini Golf
House of Prime Rib,4.0,6543,3,San Francisco,CA,94109,American (Traditional)
The House,4.5,4398,3,San Francisco,CA,94133,Asian Fusion
Kokkari Estiatorio,4.5,4166,3,San Francisco,CA,94111,Greek
Nopa,4.0,4806,3,San Francisco,CA,94117,American (New)
Foreign Cinema,4.0,4521,3,San Francisco,CA,94110,Breakfast & Brunch
Liholiho Yacht Club,4.5,1898,3,San Francisco,CA,94109,Bars
Chapeau,4.5,2568,3,San Francisco,CA,94118,French
Espetus Brazilian Steak House,4.0,3173,3,San Francisco,CA,94102,Steakhouses
State Bird Provisions,4.0,2481,3,San Francisco,CA,94115,Tapas/Small Plates
Anchor Oyster Bar,4.5,1379,3,San Francisco,CA,94114,Seafood
Absinthe Brasserie & Bar,4.0,3128,3,San Francisco,CA,94102,French
Wayfare Tavern,4.0,3613,3,San Francisco,CA,94111,American (Traditional)
L'ardoise Bistro,4.5,1192,3,San Francisco,CA,94114,French
Lolinda,4.0,1733,3,San Francisco,CA,94110,Steakhouses
Frances,4.5,1425,3,San Francisco,CA,94114,American (New)
Bourbon & Branch,4.0,2912,3,San Francisco,CA,94102,Cocktail Bars
Scoma's Restaurant,4.0,3254,3,San Francisco,CA,94133,Seafood
