Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Roam Artisan Burgers,6wUNarxe7sJTriiqLjZHAA,4,1482,2,San Francisco,CA,94123,Burgers
Roam Artisan Burgers,4eaK2-Q0dEXWMr5SOoV_Sg,4,1081,2,San Francisco,CA,94115,Burgers
Roasting Plant,fiVtLDD20uyMh_qiAKyZGA,4,258,1,New York,NY,10002,Coffee & Tea
Robert,h8XLhVVPoYPYodZqQOjRMw,4,801,3,New York,NY,10019,American (New)
Roberts Bakery Treats & Treasures,NEcxabSDU6PlpmP2FID8rQ,4.5,6,4,Walnut,IA,51577,Antiques
Robin,_CY0LgS5OOBhImGNeWwHWg,4,231,4,San Francisco,CA,94102,Sushi Bars
Robin,_CY0LgS5OOBhImGNeWwHWg,4,231,4,San Francisco,CA,94102,Sushi Bars
Robin,_CY0LgS5OOBhImGNeWwHWg,4,231,4,San Francisco,CA,94102,Sushi Bars
Rodizio Grill,nE3vhSF-RvdDONV9Riy3Zw,3.5,117,3,Lincoln,NE,68508,Steakhouses
Rodizio Grill,nE3vhSF-RvdDONV9Riy3Zw,3.5,117,3,Lincoln,NE,68508,Steakhouses
Rodizio Grill,nE3vhSF-RvdDONV9Riy3Zw,3.5,117,3,Lincoln,NE,68508,Steakhouses
Roka Akor - San Francisco,qKVwVCJ_5D0iOxJYE9wSJw,4,1079,4,San Francisco,CA,94133,Steakhouses
Roka Akor - San Francisco,qKVwVCJ_5D0iOxJYE9wSJw,4,1079,4,San Francisco,CA,94133,Steakhouses
Rolling Wok,pgl7fSM3q8642sGkdSiY4w,4.5,73,1,Des Moines,IA,50309,Chinese
Roma Antica,B09WOy0W83Od-Xw4xEXxog,4.5,248,2,San Francisco,CA,94123,Italian
Rooster & Rice,#NAME?,4.5,383,2,San Francisco,CA,94123,Chicken Shop
Root & Bone,ULt3kmA0_hbZ3j6cMORCaA,4,1391,2,New York,NY,10009,Southern
Root & Bone,ULt3kmA0_hbZ3j6cMORCaA,4,1391,2,New York,NY,10009,Southern
Rosa Mexicano,DFRpXRHjOHBxYHiuvwaEQQ,3.5,1071,3,New York,NY,10023,Mexican
Rosamunde Sausage Grill - San Francisco,g9LSMqUK5dkUcmpgTnU-dQ,4.5,1550,1,San Francisco,CA,94117,Hot Dogs
Rose's Cafe,KewsTgYKXUPuUU_X1I3O6w,3.5,894,2,San Francisco,CA,94123,Italian
Roti Roll Bombay Frankie,Y2I946V78wOdwaUD9chmqg,4,340,1,New York,NY,10025,Indian
Round K,kuKSvCZDFrgOrY-dcrOefg,4.5,309,1,New York,NY,10002,Coffee & Tea
Round the Bend Steakhouse & Saloon,jSZ-h6nmYSNUNoeXv_XYrw,3.5,46,2,Ashland,NE,68003,Steakhouses
Round the Bend Steakhouse & Saloon,jSZ-h6nmYSNUNoeXv_XYrw,3.5,46,2,Ashland,NE,68003,Steakhouses
Royal Indian Cuisine on Fillmore,8-zW9T7u9L-TDVfJyLMOZw,4.5,191,2,San Francisco,CA,94115,Indian
Roy's Restaurant,iWUSAD2WALWNFF0pPiomHA,4,2184,3,San Francisco,CA,94105,Seafood
RTB Fillmore,Tf6Yv0vD8OMiXI1v9jdQsg,4,51,4,San Francisco,CA,94115,American (New)
RTB Fillmore,Tf6Yv0vD8OMiXI1v9jdQsg,4,51,4,San Francisco,CA,94115,American (New)
RTB Fillmore,Tf6Yv0vD8OMiXI1v9jdQsg,4,51,4,San Francisco,CA,94115,American (New)
Rube's Steakhouse,2nJt2PSe2zn6-RlhnMyGqQ,4.5,32,3,Montour,IA,50173,Steakhouses
Rube's Steakhouse,2nJt2PSe2zn6-RlhnMyGqQ,4.5,32,3,Montour,IA,50173,Steakhouses
Rube's Steakhouse,2nJt2PSe2zn6-RlhnMyGqQ,4.5,32,3,Montour,IA,50173,Steakhouses
Rube's Steakhouse & Lounge,khUhkSXRF0b4jjaZR5IlAA,4,44,3,Waukee,IA,50263,Steakhouses
Rube's Steakhouse & Lounge,khUhkSXRF0b4jjaZR5IlAA,4,44,3,Waukee,IA,50263,Steakhouses
Rube's Steakhouse & Lounge,khUhkSXRF0b4jjaZR5IlAA,4,44,3,Waukee,IA,50263,Steakhouses
Rube's Steakhouse & Lounge,khUhkSXRF0b4jjaZR5IlAA,4,44,3,Waukee,IA,50263,Steakhouses
Rubirosa,WG639VkTjmK5dzydd1BBJA,4,1692,2,New York,NY,10012,Italian
Ruby's Cafe,hGo9KArKThuOKxNbwmNpoA,4,985,2,New York,NY,10012,Burgers
Ruby's Pub,N9AQK4R8p65ZDyf00GK0HQ,3.5,6,2,Stuart,IA,50250,Pubs
Rue Lepic,mNFQuOA_hhrqmJeHg-AzKA,4,269,3,San Francisco,CA,94108,French
Runza,jEtJfgSklISpAE5fbqxjTg,4,5,1,Bennington,NE,68007,Burgers
Runza,xfyqKp4wQnKUmFvbipaAOQ,3.5,6,1,Blair,NE,68008,Burgers
